author,now_price,pre_price,short_title,title
刘川,¥39.50,¥79.00, Vlog短视频创作从新手到高手, Vlog短视频创作从新手到高手 千万级流量博主刘川多年实战总结。 脚本、音效等海量Vlog素材免费赠送。
文之易,¥54.00,¥108.00, ChatGPT实操应用大全（全视频彩色）chatgpt4.0 这就是chatgpt实战 超越想象的chatgpt写作超简, ChatGPT实操应用大全（全视频彩色）chatgpt4.0 这就是chatgpt实战 超越想象的chatgpt写作超简 150集视频、150类场景应用案例。办公、写作、绘画、数据分析、视频音频制作、虚拟数字人等，各类顾问……一分钟搞定！ ChatGPT 4.0 功能一网打尽！
安德鲁·格拉斯纳,¥94.00,¥188.00, 图说深度学习：用可视化方法理解复杂概念, 图说深度学习：用可视化方法理解复杂概念 蟒蛇书同系列续作，大量图解、全彩印刷，降低理解门槛。可在GitHub上免费下载三个奖励章节+勘误表+全书图片
富索索,¥49.50,¥99.00, 剪映真传：88招玩转短视频剪辑, 剪映真传：88招玩转短视频剪辑 全彩印刷 亿级流量博主多年实战经验总结。 抖音百万粉丝创作人视频剪辑技巧和剪辑思维剖析。
James,¥34.00,¥68.00, 张静初推荐 有限与无限的游戏：一个哲学家眼中的竞技世界, 张静初推荐 有限与无限的游戏：一个哲学家眼中的竞技世界 1.改变了凯文·凯利KK一生的书。2.美团网创始人王兴忘情力荐。3.你想做但又停顿的任何事情，都可以从这本书中得到启发，找到答案。
芯智,¥64.50,¥129.00, R语言数据可视化：科技图表绘制, R语言数据可视化：科技图表绘制 教你用R 语言和ggplot 2等多种可视化包绘制引人入胜的专业图表，100个案例，150余幅精美图表的绘制技巧。本书还提供了方便的视频教学、资源文件和数据集，帮助您上机演练习更方便。
吴军,¥69.50,¥139.00, 浪潮之巅 第四版, 浪潮之巅 第四版 数学之美 文明之光 大学之路 见识 态度 全球科技通史作者吴军博士作品 深度剖析信息产业 掌握下一个黄金十年 李开复作序推荐 来自谷歌的方法论 智能时代的行动指南
黄佳,¥39.90,¥79.80, GPT图解 大模型是怎样构建的, GPT图解 大模型是怎样构建的 带你从0到1构建大模型，突破语言奥秘，开启智能未来！深入探索自然语言处理技术的核心原理，结合实战，让你成为AI领域的语言模型构建达人！
斯蒂芬·沃尔弗拉姆,¥29.90,¥59.80, 这就是ChatGPT！揭开AIGC神秘面纱！OpenAI CEO 山姆·阿尔特曼（Sam Altman）强烈推荐！, 这就是ChatGPT！揭开AIGC神秘面纱！OpenAI CEO 山姆·阿尔特曼（Sam Altman）强烈推荐！ OpenAI CEO山姆·阿尔特曼（Sam Altman）强烈推荐，沉浸于神奇AI的海洋，与您一同探寻人工智能无尽可能性，与ChatGPT一同开启对话的奇妙旅程！
杨建华,¥49.90,¥99.80, YOLO目标检测, YOLO目标检测 图文并茂 助你入门目标检测 涵盖众多目标检测框架 源自热销同名掘金小册 附赠源代码和全书彩图
罗伯特,¥59.90,¥119.80, R语言实战（第3版）," R语言实战（第3版） 获30万中文版读者认可与好评的数据分析教程重磅升级，给你入门R的""标准答案""。统计之都秘书长王小宁推荐阅读，有效学习统计分析及数据可视化的方法与技巧。"
曾焱,¥24.90,¥49.80, word excel ppt从入门到精通 23年新版电脑办公软件学习wps office表格制作教程书计算机函数公式应用, word excel ppt从入门到精通 23年新版电脑办公软件学习wps office表格制作教程书计算机函数公式应用 团购电话:4001066666转6，全彩升级版，让你从新手到高手从入门到精通 word文档制作 excel公式与函数高效办公 ppt幻灯片极具说服力 手机扫码随时看教程
鸟哥,¥59.00,¥118.00, 鸟哥的Linux私房菜 基础学习篇 第四版, 鸟哥的Linux私房菜 基础学习篇 第四版 畅销Linux入门书升级版 鸟哥教你从入门到精通 适用Linux系统应用和开发及运维的人员 涵盖linux内核 命令行 嵌入式 Shell与Shell Scripts技巧精粹 基于CentOS 7.x
史蒂芬·普拉达,¥59.00,¥118.00, C++ Primer Plus 第6版 中文版, C++ Primer Plus 第6版 中文版 C++程序设计经典教程，畅销30年的C++大百科全书全新升级，经典C++入门教程十年新版再现，孟岩、高博倾力推荐，赠送价值99元的e读版电子书及在线实验环境，赠送大尺寸全书思维导图，赠199元训练营
姜伟生,¥129.00,¥258.00, 矩阵力量：线性代数全彩图解+微课+Python编程, 矩阵力量：线性代数全彩图解+微课+Python编程 鸢尾花书 从加减乘除到机器学习 Github/知乎数学可视化大神生姜博士作品 硬核品鉴数学之美
严琦,¥49.50,¥99.00, 高效C/C++调试, 高效C/C++调试 一本关于高效调试的实用指南。涵盖调试符号、内存管理机制、Python增强调试器、Core Analyzer和C++20协程。深入挖掘调试的底层原理，从宏观和微观角度深入剖析问题
藤井直弥,¥34.90,¥69.90, Excel最强教科书（完全版）教学视频+全彩印刷+案例文件 电子表格制作教书籍 零基础从入门到精通 函数高级会计数据透视, Excel最强教科书（完全版）教学视频+全彩印刷+案例文件 电子表格制作教书籍 零基础从入门到精通 函数高级会计数据透视 问世两年印刷21次！销量突破27万册！“后悔没有早点知道”的办公秘笈一应俱全，堪称不变的经典，永远的传奇！5小时的工作10秒内即可搞定！
斯图尔特·罗素,¥99.00,¥198.00, 人工智能：现代方法（第4版）（上下册）, 人工智能：现代方法（第4版）（上下册） 系统性总结人工智能的方方面面，国际人工智能领域专家斯图尔特·罗素撰写人工智能百科书，时隔十年重磅更新，被全球全球1500多所学校采用的经典教材
刘汝佳,¥39.90,¥79.80, 算法竞赛入门经典（第2版）, 算法竞赛入门经典（第2版） 连续畅销多年精典算法好书！
Goodfellow,¥84.00,¥168.00, 深度学习 人工智能算法，机器学习奠基之作，AI圣经, 深度学习 人工智能算法，机器学习奠基之作，AI圣经 AI圣经 deep learning中文版 2018年图灵奖获奖者作品 业内人称“花书” 人工智能机器学习深度学习领域奠基性经典畅销书
立石贤吾,¥34.90,¥69.80, 白话深度学习的数学, 白话深度学习的数学 热销IT技术书《白话机器学习的数学》续作！对话形式轻松理解，一本书掌深度学习的基础数学！有趣、易懂、不枯燥的深度学习入门书。Python代码均可下载。
史蒂芬·普拉达,¥54.00,¥108.00, C Primer Plus 第6版 中文版 C语言入门经典教程, C Primer Plus 第6版 中文版 C语言入门经典教程 C语言入门经典教程，畅销30余年的C语言编程入门书籍，近百万程序员的C语言编程启蒙教材，技术大牛案头常备的工具书，被誉为C语言百科全书，购书赠送价值99元的e读版电子书+在线编程环境
方其桂,¥39.90,¥79.80, 中小学C++编程项目学习创意课堂（微课版）, 中小学C++编程项目学习创意课堂（微课版） 青少年编程零基础入门，一线信息技术老师通过50多个项目案例教孩子入门、掌握C++语言编程的方法与技巧。随书配有案例素材、源文件、答案、PPT课件、微课视频等立体化资源，获取地址见书前言二维码。
斋藤康毅,¥34.90,¥69.80, 深度学习入门 基于Python的理论与实现, 深度学习入门 基于Python的理论与实现 人工智能入门学习教程 日本深度学习入门书籍 基于python 3 从零创建一个深度学习模型
埃里克·马瑟斯,¥133.90,¥267.80, Python编程三剑客第3版：Python编程从入门到实践第3版+快速上手第2版+极客项目编程（当当套装共3册）, Python编程三剑客第3版：Python编程从入门到实践第3版+快速上手第2版+极客项目编程（当当套装共3册） Python编程入门好书，自学利器，数据分析、网络爬虫、机器学习、深度学习基础，基于Python 3.11升级，附赠配套视频、源代码、PPT课件、速查地图、学习路线图等资源
Excel精英部落,¥49.90,¥99.80, Excel函数与公式速查宝典教程（视频案例+彩色印刷） word excel ppt wps 办公软件自学教程 办公应用, Excel函数与公式速查宝典教程（视频案例+彩色印刷） word excel ppt wps 办公软件自学教程 办公应用 手机扫码看474节18小时同步视频讲解+362个函数与公式解析+435个行业应用案例，赠37小时Word/Excel/PPT教学视频，Excel速查大全，随查随用
王晓华,¥44.50,¥89.00, 从零开始大模型开发与微调：基于PyTorch与ChatGLM, 从零开始大模型开发与微调：基于PyTorch与ChatGLM 详解大模型基本理论、算法、程序实现与应用实战，揭示大模型开发与微调技术。大模型开发，大模型微调，深度学习入门，PyTorch，ChatGLM，
曾我部东马,¥34.90,¥69.80, 强化学习算法入门实战 机器学习中的分类和回归人工智能丛书 python深度学习机器学习大模型 强化学习的数学原理教程 自, 强化学习算法入门实战 机器学习中的分类和回归人工智能丛书 python深度学习机器学习大模型 强化学习的数学原理教程 自 从“平均值计算”开始的强化学习算法入门书
彦祖,¥24.90,¥49.90, 思维导图速记：计算机基础," 思维导图速记：计算机基础 ""确认键教育""出品，备考2023年计算机基础专升本考试知识点图解，涵盖纲要求的所有知识点，162幅思维导图速记高频考点。"
姜伟生,¥129.00,¥258.00, 统计至简（概率统计全彩图解 + 微课 + Python编程）, 统计至简（概率统计全彩图解 + 微课 + Python编程） 
王天威,¥34.50,¥69.00, 控制之美（卷1）——控制理论从传递函数到状态空间, 控制之美（卷1）——控制理论从传递函数到状态空间 本书的目标是以简单的语言讲述复杂的知识，希望本书可以引起读者对控制理论的兴趣，并掌握控制理论的核心精神所在，为未来深入学习其他相关知识打下基础。同时，本书是一本“实战性”很强的书籍，大部分章节以一个实
程杰,¥59.50,¥119.00, 大话数据结构 溢彩加强版, 大话数据结构 溢彩加强版 超级畅销书彩色升华版，百万读者认可的趣味解读“数据结构+算法”，配合动效PPT课件，动态扫除难点。程杰作品，必属精品。
约翰·拉科斯,¥74.90,¥149.80, 大规模C++软件开发 卷1：过程与架构, 大规模C++软件开发 卷1：过程与架构 全球C++软件开发顾问约翰·拉科斯（John Lakos）新作，大规模C++编程全解，全面展示大规模开发所需的过程、方法、技术和工具。
Marty,¥20.00,¥40.00, 启示录：打造用户喜爱的产品, 启示录：打造用户喜爱的产品 
弗赖伯格,¥17.90,¥39.80, 硅谷之火：人与计算机的未来, 硅谷之火：人与计算机的未来 雷军推荐，激发雷军创业和改变雷军命运的奇书，初步了解计算机发展史的易懂版本，激发你的灵感，加深你的兴趣
姜伟生,¥119.00,¥238.00, 数学要素 全彩图解 + 微课 +Python 编程, 数学要素 全彩图解 + 微课 +Python 编程 Github/知乎数学可视化大神生姜博士全角度拆解“数学要素”。
中国电子学会,¥39.50,¥79.00, Scratch编程入门与算法进阶 第2版, Scratch编程入门与算法进阶 第2版 
韩泽耀,¥34.90,¥69.80, AIGC从入门到实战：ChatGPT+Midjourney+Stable Diffusion+行业应用, AIGC从入门到实战：ChatGPT+Midjourney+Stable Diffusion+行业应用 如何有效应对AI革命？一本书带你深入探究ChatGPT、Midjourney、Stable Diffusion及其他AI工具的妙用！提供具体提问模版，常用AI工具，资源推荐！
理查德·布卢姆,¥64.90,¥129.80, Linux命令行与shell脚本编程大全（第4版）, Linux命令行与shell脚本编程大全（第4版） Linux领域口碑作品再度升级，中文版累计入库10万册，初学读者也能跟着写出自己的Shell脚本，书中丰富示例适用于Linux所有发行版，附赠书示例文件。
赵丹阳,¥39.90,¥79.80, 产品经理方法论 构建完整的产品知识体系, 产品经理方法论 构建完整的产品知识体系 产品经理入门教程书籍，互联网产品运营产品策划教程，详细介绍产品经理需要掌握的大量工具、方法论以及产品知识，工作经验，帮助产品经理建立完善的知识体系。
刘凤飞,¥44.50,¥89.00, 小学生Python创意编程（视频教学版）, 小学生Python创意编程（视频教学版） 本书按照入门开发者的思维方式编写，非常适合孩子学习Python编程的基础知识。语言风趣幽默，讲解细致入微，案例生动有趣，能够让小朋友轻松愉悦地学习Python编程。
户根勤,¥34.90,¥69.80, 网络是怎样连接的, 网络是怎样连接的 计算机网络概论图解趣味版 网络技术基础知识程序员入门进阶教程
天工在线,¥44.90,¥89.80, 中文版 ANSYS Fluent 2022流体分析从入门到精通（实战案例版）流体计算ansys fluent数值计算方法," 中文版 ANSYS Fluent 2022流体分析从入门到精通（实战案例版）流体计算ansys fluent数值计算方法 CAD/CAM/CAE/EDA专家编写,329分钟同步讲解视频+21个实例案例分析+源文件+赠送资源+在线交流"
丁金滨,¥64.50,¥129.00, Origin科技绘图与数据分析, Origin科技绘图与数据分析 Origin科技绘图与数据分析，OriginLab技术服务经理作序推荐，中科院专家编撰，品质保证
布拉德利,¥49.90,¥99.80, Python数据结构与算法分析（第3版）, Python数据结构与算法分析（第3版） 只有洞彻数据结构与算法，才能真正精通Python！热门计算机科学教材，华盛顿大学、北京大学等多家高校采用，让你在代码编写的战场上所向披靡！
胡东锋,¥74.50,¥149.00, Java图解创意编程：从菜鸟到互联网大厂之路, Java图解创意编程：从菜鸟到互联网大厂之路 10位大厂大咖推荐 10个精致项目实践 10万行代码之路
小弗雷德里克·P.布鲁克斯,¥49.00,¥98.00, 人月神话（纪念典藏版）, 人月神话（纪念典藏版） 长销半个世纪的传奇经典，被引频次无出其右的软工神话。缅怀大师布鲁克斯，纪念典藏版，软件开发人员、软件项目经理、系统分析师等IT从业者必藏之软工圣经！
高林旭,¥59.00,¥118.00, 由浅入深学习SAP财务, 由浅入深学习SAP财务 由浅入深学习SAP系统 财务分析 ERP系统 会计 资产 订单 获利分析 15年SAP项目实施和管理经验分享
欧阳鹏程,¥39.50,¥79.00, Python量化交易实战——使用vn.py构建交易系统, Python量化交易实战——使用vn.py构建交易系统 量化交易的入门书籍，抛开书本上枯燥繁杂的知识，用动手实践的方式带你实现属于自己的交易系统！
丹尼斯·罗斯曼,¥49.90,¥99.80, 基于GPT-3、ChatGPT、GPT-4等Transformer架构的自然语言处理, 基于GPT-3、ChatGPT、GPT-4等Transformer架构的自然语言处理 Google 工程总监Antonio Gulli作序推荐！分享Transformer的工作原理和如何利用其解决NLP问题。随书附赠代码、习题答案、附录、参考资料和彩图，扫描封底二维码下载。
罗勇军,¥84.00,¥168.00, 算法竞赛（清华科技大讲堂）, 算法竞赛（清华科技大讲堂） 一本算法竞赛大全，全面深入解析算法专题、数据结构、模板代码。10个专题，330个知识点，102个章节视频讲解。
赵鹏,¥49.00,¥98.00, 毫无PS痕迹（第二版） photoshop2022 ps教程零基础 ps入门 ps教程2022, 毫无PS痕迹（第二版） photoshop2022 ps教程零基础 ps入门 ps教程2022 Photoshop2022新版，配1900分钟视频课精讲，打通选区、通道、蒙版的本质关联，图像处理，摄影后期，UI设计，“ACR+智能对象”实战讲解，Adobe认证PS讲师赵鹏15年呕心力作
武松,¥49.50,¥99.00, SPSS实战与统计思维, SPSS实战与统计思维 附赠全书实例完整数据集和SPSS入门学习视频 大数据方法论风靡全球 统计学应用更上一层楼 SPSS统计分析从入门到精通 统计分析大全 从统计学思维开始 由浅入深 全面系统讲解SPSS实战应用
新镜界,¥44.90,¥89.80, 剪映短视频剪辑从入门到精通（手机版+电脑版）手机短视频剪辑 特效制作 剪映案例教程 抖音快手小红书B站视频剪辑 pr a, 剪映短视频剪辑从入门到精通（手机版+电脑版）手机短视频剪辑 特效制作 剪映案例教程 抖音快手小红书B站视频剪辑 pr a 剪映手机版+剪映电脑版教程 59个精选案例+170分钟操作视频精讲+95个素材视频+58个效果视频，专业摄影大师手把手教你快速学会短视频的专业创作过程
闪客,¥79.00,¥158.00, Linux源码趣读, Linux源码趣读 一线互联网大厂专家闪客带你，解读经典Linux版本源码，深入内核，提升开发和操作系统内核设计能力，深入理解Linux网络张彦飞I码农翻身刘欣等专家力荐
麓山剪辑社,¥39.90,¥79.80, 剪映视频剪辑/调色/特效从入门到精通（手机版+电脑版）, 剪映视频剪辑/调色/特效从入门到精通（手机版+电脑版） 2023新版 剪映手机版+电脑版入门到精通，精选61个抖音、快手典型案例，短视频制作全流程讲解，附赠同步录播课程、114页拓展电子书及素材效果文件。
巴尔加瓦,¥34.90,¥69.80, 算法图解, 算法图解 像小说一样有趣的算法入门书 代码示例基于Python 熟练掌握算法设计与分析
马塞洛·拉·罗卡,¥74.90,¥149.80, 高级算法和数据结构, 高级算法和数据结构 一本关于
羊依军,¥54.90,¥109.90, Excel数据分析方法、技术与案例, Excel数据分析方法、技术与案例 萃取自海量商业数据分析实践，透彻解析Excel的数据分析用法，数据透视表函数公式数据可视化建模，财务、HR、生产、经营管理等实战数据分析模型。
侯捷,¥39.50,¥79.00, STL源码剖析, STL源码剖析 源码之前，了无秘密。大师们的缜密思维、经验结晶、技术思路、独到风格，都原原本本体现在源码之中。
吴光科,¥34.50,¥69.00, Linux虚拟化——原理、方法和实战（KVM+Docker+OpenStack）, Linux虚拟化——原理、方法和实战（KVM+Docker+OpenStack） Linux运维实战专家吴光科团队精心打造，近百位来自百度、阿里、腾讯、京东专家共同打磨，3000分钟视频讲解
史蒂芬,¥44.50,¥89.00, C++ Primer Plus 第6版 中文版习题解答, C++ Primer Plus 第6版 中文版习题解答 经典畅销图书《C++ Primer Plus（第6版）中文版》的学习伴侣，北京师范大学名师详细剖析所有题目，全面提升C++编程能力的优选编程练习册
远藤理平,¥44.90,¥89.80, 14天自造量子计算机（Python版）量子计算与编程入门量子信息 量子计算基础导论 使用薛定谔方程对量子计算机的基本要素, 14天自造量子计算机（Python版）量子计算与编程入门量子信息 量子计算基础导论 使用薛定谔方程对量子计算机的基本要素 用Python编程从零开始搭建量子计算机，了解量子计算机工作原理必须掌握的步骤，详解用于数值计算的算法的推导过程，展示详细的Python实现代码，计算机科学前沿技术类书籍
张冬,¥99.50,¥199.00, 大话存储 新——存储系统底层架构原理极限剖析, 大话存储 新——存储系统底层架构原理极限剖析 存储圣经。
大卫·Q.默茨,¥24.90,¥49.80, Copilot和ChatGPT编程体验：挑战24个正则表达式难题, Copilot和ChatGPT编程体验：挑战24个正则表达式难题 ChatGPT和Copilot对战程序员，鹿死谁手？且看本书解答！
张云鹏,¥84.50,¥169.00, JavaScript修炼之路, JavaScript修炼之路 全面解读JavaScript基础语法及高级应用 ，助力读者开启JavaScript的探索旅程
秦阳,¥34.90,¥69.80, 说服力 工作型PPT该这样做, 说服力 工作型PPT该这样做 别告诉我你懂PPT，和秋叶PPT学办公软件，视频教学教职场小白学现代商务办公PowerPoint幻灯片，快速走上PPT高手之路，搞定PPT设计思维，赠10G PPT素材下载和纸质PPT品控手册。
倪红军,¥49.90,¥99.80, 鸿蒙应用开发零基础入门(微课视频版）, 鸿蒙应用开发零基础入门(微课视频版） 基于的ArkUI JS开发框架和HarmonyOS 3.0应用开发技术，讲解了HarmonyOS应用开发从入门到精通的基础知识和关键技术。
布兜,¥44.50,¥89.00, 收割Offer:互联网大厂面经, 收割Offer:互联网大厂面经 对于后端程序员来说，这是一本让你获得大厂Offer的秘诀和宝典。
刘炎,¥34.00,¥68.00, 游戏架构设计与策划基础（第3版）, 游戏架构设计与策划基础（第3版） 中国电影电视技术学会数字特效与三维动画专业委员会、中国系统仿真学会数字娱乐专业委员会、中国文化创意产业技术创新联盟 推荐教材
文杰书院,¥34.50,¥69.00, Adobe Audition 2022音频编辑基础教程（微课版）, Adobe Audition 2022音频编辑基础教程（微课版） 源自百万读者的选择，汇聚作者20多年的技术精华，原版畅销书全新升级！“图书+微视频课堂+全程学习指导”，为您奉献一套完美学习方案！
刘伟,¥29.50,¥59.00, 人机融合——超越人工智能, 人机融合——超越人工智能 本书内容全面，与智能未来的发展趋势一致，内容丰富，覆盖面广，概括了计算、感知、认知以及洞察智能的思想。
丁盈,¥44.50,¥89.00, 数字孪生系统设计与实践, 数字孪生系统设计与实践 完整呈现数字孪生系统设计的认知探索与实践总结。
荣钦科技,¥44.50,¥89.00, Word文稿之美, Word文稿之美 让你的文档从平凡到出众！Word、数字排版、自动校阅、ChatGPT。清晰的章节结构，从基础知识到高级技巧，系统介绍页面布局、文字建构、样式编修、图文配置、表格与图表排版等。
唯美世界,¥59.00,¥118.00, 中文版 Photoshop 2020 完全案例教程（高清视频+全彩印刷）ps书籍 ps教程 ai教程 ps入门 平面设计, 中文版 Photoshop 2020 完全案例教程（高清视频+全彩印刷）ps书籍 ps教程 ai教程 ps入门 平面设计 畅销70万册“唯美”系列作者全新力作！PS2020新版，310个中小型及综合实例，490集教学视频，涵盖书中所有实例和重要知识点。封面图片全部选自书中案例，原创精美时尚，赠丰富配套及拓展学习资源
弗兰克·瓦斯奎兹,¥79.50,¥159.00, 精通嵌入式Linux编程, 精通嵌入式Linux编程 本书的每一章都介绍嵌入式Linux的一个主要领域。它描述知识背景，以便你可以了解一般原则，它还包括详细的有效示例来说明这些领域中的操作。
刘遄,¥49.90,¥99.90, Linux就该这么学（第2版）, Linux就该这么学（第2版） 刘遄Linux入门教程升级，基于Linux系统RHEL8编写，每章带有大量图表及习题，知识点覆盖红帽认证RHCSA、RHCE、RHCA考试要求，配套站点提供软件、学习资料及答疑服务。
未来科技,¥44.90,¥89.80, HTML5+CSS3+JavaScript从入门到精通（标准版）基础视频讲解与案例实战，8大素材库，源代码配套学习更轻松, HTML5+CSS3+JavaScript从入门到精通（标准版）基础视频讲解与案例实战，8大素材库，源代码配套学习更轻松 10万读者检验 扫一扫随时随地看视频 412节同步视频 661个案例分析 1000习题面试题 4396个案例 47部参考手册 1636个模版 17类素材库 623项配色 508项欣赏库 网页制作 网页
刘杰飞,¥39.90,¥79.80, 自己动手做聊天机器人 chatgpt 人工智能机器学习深度学习实战丛书 机器人建模和控制 智能聊天机器人入门 自然语言处, 自己动手做聊天机器人 chatgpt 人工智能机器学习深度学习实战丛书 机器人建模和控制 智能聊天机器人入门 自然语言处 详细的聊天机器人保姆式实现方案，囊括多种方案与真实应用场景，图文讲解轻松学习
信息学名师工作室,¥38.00,¥76.00, 信息学竞赛入门篇, 信息学竞赛入门篇 本书由全国青少年信息学奥林匹克竞赛金牌教练精心编写而成，书中知识体系完善，内容丰富，并配有真题及详解。本书可作为算法竞赛、全国青少年信息学奥林匹克竞赛NOI等相关比赛的入门教材。
李贵俊,¥39.90,¥79.90, Camunda工作流开发实战——Spring Boot+BPMN+DMN, Camunda工作流开发实战——Spring Boot+BPMN+DMN 本书以基础理论与实战案例的模式，结合当前流行的Spring Framework、Spring Boot等框架，深入浅出地带读者实现简洁、高效的开发。
提图斯·温特斯,¥74.00,¥148.00, Google软件工程, Google软件工程 这本书解释了谷歌做软件工程的方式，讲述了需要考虑的各种权衡。
周峰,¥29.50,¥59.00, 从零开始学Python大数据与量化交易, 从零开始学Python大数据与量化交易 一本书揭示量化交易精髓，新手交易获利更容易。免费赠送所有实例代码。量化交易/Python/Pandas大数据分析包/Matplotlib大数据可视化包/量化选股
